	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
K04021	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K04022	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K04023	0	0	1	0	0	16	0	1	0	2	0	0	0	1	0	0	0	0	0	1	4	0	2	0	2	0	0	0
K04024	0	3	5	0	3	16	4	2	86	13	0	2	0	2	3	1	0	3	0	0	1	7	12	2	2	1	1	1
K04025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
K04026	0	0	0	0	0	19	0	0	0	0	0	2	0	40	2	0	0	2	0	0	13	0	3	0	0	0	0	0
K04028	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0
K04029	2	1	1	0	2	129	0	21	0	176	0	164	1	24	25	263	0	70	0	44	271	42	2	0	1	1	1	1
K04030	0	0	0	0	0	35	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
K04031	0	0	0	0	0	97	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
K04032	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K04033	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
K04041	4	132	13	433	8	581	8	733	29	648	77	1602	68	287	843	692	856	1346	115	797	2266	411	25	4	717	3	294	2
K04042	6267	21594	4760	6551	6562	3746	2852	6423	9752	10369	5275	3754	5275	5196	4538	4122	2233	5002	143	5690	7364	3754	4046	2588	3161	6762	3121	7110
K04043	8733	25116	41945	82524	30100	23417	27711	43229	32002	64563	13970	81461	11930	88772	69055	25020	8795	28979	6147	98297	70586	59436	70646	9281	39676	15914	24825	21582
K04044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K04046	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K04047	5050	20212	84439	15385	90555	38803	44308	60537	4303	46950	4697	37315	8403	50301	33870	19272	28115	45203	836	46938	68420	43808	43034	5678	24883	6733	21659	6763
K04063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
K04065	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K04066	53	284	48	596	289	1267	17	547	384	1169	89	913	88	837	739	609	589	844	64	684	1721	922	96	541	471	37	340	33
K04068	3495	42129	6056	7626	11620	721	3940	3425	3307	3593	11620	1196	19245	3512	2665	3315	2327	2561	493	9507	3737	2856	12877	42289	1769	27390	5972	44055
K04069	268	126	83	25712	69	13862	65	22687	603	28967	58	8703	62	18415	33845	9060	15180	22329	275	17195	25385	18701	1717	58	7891	36	16859	20
K04072	1838	9167	851	1825	1719	11843	667	1146	5301	5848	9030	3935	7984	6762	4433	5052	141	4501	191	1836	6110	1224	1105	1332	2778	8419	3652	6599
K04074	7181	509	168	2903	2290	2543	735	6403	4233	2181	36	853	220	1753	3352	1525	7764	4189	491	5354	7076	2619	76	5930	754	75	809	110
K04075	602	490	1285	2409	1502	1901	868	1792	1120	1963	226	1025	155	1857	3524	1184	861	1619	108	2282	2398	1138	1812	565	683	314	1172	356
K04077	10409	33035	65666	78577	56787	30559	57156	55179	32824	55918	8449	98901	17298	73690	91295	27063	22017	41215	6209	124216	129064	100448	67948	8229	88462	29171	34239	39382
K04078	14946	29775	110674	145732	85719	88401	90258	140846	113517	134285	6355	270957	12757	236541	198673	39874	25619	90981	13138	285879	244316	210352	94021	8844	39101	5851	22948	2354
K04079	30	60	47	1271	19	2440	17	2617	1235	6047	9	19696	18	10493	9083	2276	60	3584	832	6041	10091	10267	161	22	10167	9	1686	6
K04080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
K04081	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
K04082	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	2	0	0	0	0	0
K04083	19	1	21	1	5	16	1	1	38	1	7	2	1	1	1	1	2	1	87	3	2	2	1	8	8	3	3	7
